ID;LAT;LNG;BANCO;RED;DOM_GEO;TERMINALES;BARRIO;RED_CODE;RETIROS;RECARGAS
45;-34.61818387374033;-58.50246052750458;BANCO SANTANDER RIO;BANELCO;4502 ALVAREZ JONTE AV.;3;MONTE CASTRO;1;0;3000
46;-34.619632898438155;-58.505117116322026;BANCO PATAGONIA;BANELCO;4740 ALVAREZ JONTE AV.;2;MONTE CASTRO;1;0;2000
47;-34.623657847663296;-58.51124571115084;BBVA-BANCO FRANCES;BANELCO;5255 ALVAREZ JONTE AV.;1;MONTE CASTRO;1;0;1000
48;-34.59120149635174;-58.38335552506891;BANCO GALICIA;BANELCO;1331 ALVEAR AV.;1;RETIRO;1;0;1000
50;-34.60737673922378;-58.44515301167412;BANCO GALICIA;BANELCO;1072 GALLARDO, ANGEL AV.;2;CABALLITO;1;0;2000
51;-34.58761745765258;-58.373212291491576;BANCO GALICIA;BANELCO;1160 ANTARTIDA ARGENTINA AV.;1;RETIRO;1;0;1000
52;-34.58507538948199;-58.37245119803671;BANCO PATAGONIA;BANELCO;1355 ANTARTIDA ARGENTINA AV.;1;RETIRO;1;0;1000
53;-34.63443477258772;-58.43568669816477;BBVA-BANCO FRANCES;BANELCO;695 ASAMBLEA AV.;1;PARQUE CHACABUCO;1;0;1000
54;-34.61357164303768;-58.38544234732578;BANCO MACRO;BANELCO;1358 BELGRANO AV.;1;MONSERRAT;1;0;1000
55;-34.61387915916312;-58.38987205183146;BANCO MACRO;BANELCO;1668 BELGRANO AV.;2;MONSERRAT;1;0;2000
56;-34.613623584804444;-58.39148787666754;BANCO SUPERVIELLE;BANELCO;1783 BELGRANO AV.;4;MONSERRAT;1;0;4000
57;-34.6129276972868;-58.37606741015018;BBVA-BANCO FRANCES;BANELCO;698 BELGRANO AV.;2;MONSERRAT;1;0;2000
58;-34.61319742784744;-58.380140860768236;BANCO SANTANDER RIO;BANELCO;980 BELGRANO AV.;3;MONSERRAT;1;0;3000
59;-34.61320854140796;-58.38030711986307;BANCO GALICIA;BANELCO;992 BELGRANO AV.;3;MONSERRAT;1;0;3000
60;-34.62143028423516;-58.41668461589264;BANCO SUPERVIELLE;BANELCO;729 BOEDO AV.;2;BOEDO;1;0;2000
61;-34.62257229094993;-58.41616616667782;BANCO SANTANDER RIO;BANELCO;802 BOEDO AV.;3;BOEDO;1;0;3000
62;-34.627742200383814;-58.38265973674683;HSBC ARGENTINA;BANELCO;1199 BRASIL;1;CONSTITUCION;1;0;1000
63;-34.56940493015291;-58.44650130724444;BANCO ITAU;BANELCO;1000 CABILDO AV.;3;COLEGIALES;1;0;3000
64;-34.569199069685084;-58.44687140119953;BANCO SUPERVIELLE;BANELCO;1020 CABILDO AV.;2;COLEGIALES;1;0;2000
65;-34.56894611924837;-58.44650747084917;BANCO SANTANDER RIO;BANELCO;1021 CABILDO AV.;2;PALERMO;1;0;2000
66;-34.56840586642578;-58.447567301307764;BANCO PATAGONIA;BANELCO;1159 CABILDO AV.;2;PALERMO;1;0;2000
67;-34.56542748053213;-58.453995811514915;BBVA-BANCO FRANCES;BANELCO;1732 CABILDO AV.;2;BELGRANO;1;0;2000
68;-34.56514663900562;-58.453565961036645;BANCO SANTANDER RIO;BANELCO;1741 CABILDO AV.;3;BELGRANO;1;0;3000
69;-34.56533801538672;-58.4540913266778;ICBC;BANELCO;1750 CABILDO AV.;2;BELGRANO;1;0;2000
70;-34.56490440623592;-58.454537717008606;HSBC ARGENTINA;BANELCO;1802 CABILDO AV.;3;BELGRANO;1;0;3000
71;-34.564713820735285;-58.454654330954625;BANCO GALICIA;BANELCO;1828 CABILDO AV.;2;BELGRANO;1;0;2000
72;-34.563452285932705;-58.45520563713911;BANCO PATAGONIA;BANELCO;1939 CABILDO AV.;3;BELGRANO;1;0;3000
73;-34.560829065273374;-58.45745831364486;BANCO ITAU;BANELCO;2215 CABILDO AV.;4;BELGRANO;1;0;4000
74;-34.55961322058627;-58.458494448539916;CITIBANK;BANELCO;2347 CABILDO AV.;1;BELGRANO;1;0;1000
75;-34.558624130147564;-58.45935164355025;HSBC ARGENTINA;BANELCO;2453 CABILDO AV.;2;BELGRANO;1;0;2000
76;-34.55828183267975;-58.459650465242106;BANCO SANTANDER RIO;BANELCO;2491 CABILDO AV.;4;BELGRANO;1;0;4000
77;-34.556634097529944;-58.46180970717718;BANCO SANTANDER RIO;BANELCO;2754 CABILDO AV.;2;BELGRANO;1;0;2000
78;-34.55657398897864;-58.46186160286238;BANCO GALICIA;BANELCO;2762 CABILDO AV.;4;BELGRANO;1;0;4000
79;-34.55373270581741;-58.46465631025255;HSBC ARGENTINA;BANELCO;3096 CABILDO AV.;4;NUÑEZ;1;0;4000
80;-34.55157794613224;-58.46581241271515;BANCO SANTANDER RIO;BANELCO;3349 CABILDO AV.;1;NUÑEZ;1;0;1000
81;-34.55157794613224;-58.46581241271515;BANCO SANTANDER RIO;BANELCO;3349 CABILDO AV.;2;NUÑEZ;1;0;2000
82;-34.548980356387155;-58.468468730191766;BANCO ITAU;BANELCO;3702 CABILDO AV.;2;SAAVEDRA;1;0;2000
83;-34.54190303027867;-58.47376556885052;BANCO SANTANDER RIO;BANELCO;4664 CABILDO AV.;3;SAAVEDRA;1;0;3000
84;-34.57025779875353;-58.44379542411083;BANCO SANTANDER RIO;BANELCO;695 CABILDO AV.;1;PALERMO;1;0;1000
85;-34.57000563321244;-58.44434968827162;ICBC;BANELCO;745 CABILDO AV.;2;PALERMO;1;0;2000
86;-34.56991801747031;-58.44452811867325;BANCO SANTANDER RIO;BANELCO;769 CABILDO AV.;2;PALERMO;1;0;2000
87;-34.56953033176168;-58.44531763971342;HSBC ARGENTINA;BANELCO;867 CABILDO AV.;2;PALERMO;1;0;2000
88;-34.569256301466865;-58.445875718036795;BANCO GALICIA;BANELCO;935 CABILDO AV.;2;PALERMO;1;0;2000
89;-34.59691274853566;-58.39300601387502;BANCO SUPERVIELLE;BANELCO;1021 CALLAO AV.;2;RECOLETA;1;0;2000
90;-34.59521596138939;-58.39302059874709;BANCO PATAGONIA;BANELCO;1165 CALLAO AV.;2;RECOLETA;1;0;2000
91;-34.595156636967126;-58.39301396429536;BANCO GALICIA;BANELCO;1171 CALLAO AV.;2;RECOLETA;1;0;2000
92;-34.59412157345346;-58.39333154374835;BANCO ITAU;BANELCO;1270 CALLAO AV.;2;RECOLETA;1;0;2000
93;-34.59405894464552;-58.39288611037124;BANCO COMAFI;BANELCO;1279 CALLAO AV.;1;RECOLETA;1;0;1000
94;-34.60748127661656;-58.39184825738262;BANCO GALICIA;BANELCO;141 CALLAO AV.;3;SAN NICOLAS;1;0;3000
95;-34.591947835887275;-58.39184200262945;BBVA-BANCO FRANCES;BANELCO;1499 CALLAO AV.;2;RECOLETA;1;0;2000
96;-34.59073062173247;-58.39045589967031;HSBC ARGENTINA;BANELCO;1631 CALLAO AV.;2;RECOLETA;1;0;2000
97;-34.59048052731001;-58.39017704029481;ICBC;BANELCO;1661 CALLAO AV.;2;RECOLETA;1;0;2000
98;-34.60715955881642;-58.39186938071319;BANCO COMAFI;BANELCO;169 CALLAO AV.;1;SAN NICOLAS;1;0;1000
99;-34.58899178560473;-58.388525245094065;BANCO SANTANDER RIO;BANELCO;1833 CALLAO AV.;2;RECOLETA;1;0;2000
100;-34.58776361678107;-58.387045906776216;BANCO SUPERVIELLE;BANELCO;1991 CALLAO AV.;4;RECOLETA;1;0;4000
101;-34.606086307930696;-58.392380497137694;BANCO MACRO;BANELCO;264 CALLAO AV.;2;BALVANERA;1;0;2000
102;-34.605955237902144;-58.39195312161922;BANCO PATAGONIA;BANELCO;273 CALLAO AV.;2;SAN NICOLAS;1;0;2000
103;-34.605758142154954;-58.391967411052185;ICBC;BANELCO;291 CALLAO AV.;1;SAN NICOLAS;1;0;1000
104;-34.60504176139135;-58.392021289149994;BANCO SANTANDER RIO;BANELCO;349 CALLAO AV.;3;SAN NICOLAS;1;0;3000
105;-34.63630341947399;-58.402051549623955;BANCO SANTANDER RIO;BANELCO;2795 CASEROS AV.;2;PARQUE PATRICIOS;1;0;2000
106;-34.638697633043876;-58.415690764842665;BANCO PATAGONIA;BANELCO;3599 CASEROS AV.;3;BOEDO;1;0;3000
107;-34.650738776526275;-58.42476657520326;BANCO GALICIA;BANELCO;2933 BARCO CENTENERA DEL;2;NUEVA POMPEYA;1;0;2000
108;-34.56778627206712;-58.48699053363433;BANCO SANTANDER RIO;BANELCO;CONGRESO AV. & GALVAN;1;VILLA URQUIZA;1;0;1000
109;-34.5730344157054;-58.50343175801292;BANCO SANTANDER RIO;BANELCO;5847 DE LOS CONSTITUYENTES AV.;1;VILLA URQUIZA;1;0;1000
110;-34.57296573934408;-58.5035467223291;BANCO SANTANDER RIO;BANELCO;5857 DE LOS CONSTITUYENTES AV.;1;VILLA URQUIZA;1;0;1000
111;-34.599828233996575;-58.39970839362675;BANCO SANTANDER RIO;BANELCO;2282 CORDOBA AV.;2;BALVANERA;1;0;2000
112;-34.59907162946793;-58.38531476631331;BANCO SANTANDER RIO;BANELCO;1299 CORDOBA AV.;2;RETIRO;1;0;2000
113;-34.59905796400452;-58.38570320039501;BANCO MACRO;BANELCO;1315 CORDOBA AV.;1;RETIRO;1;0;1000
114;-34.59948967225064;-58.38720981046285;BANCO GALICIA;BANELCO;1428 CORDOBA AV.;2;SAN NICOLAS;1;0;2000
